20240203	14:07:15	cc7278ae-566f-4c7c-adfb-d37219e13a4b	POST	undefined	/auth
20240203	14:07:23	3a11e31e-53f0-4832-86dd-159d8f76bad9	POST	undefined	/employees
20240203	14:18:19	f6d751b9-5c06-40f1-9885-4c030bbb4b17	POST	undefined	/auth
20240203	14:18:51	e9f87546-1d5f-4c70-8bf6-98d0058eb65f	POST	undefined	/employees
20240203	14:19:19	78916016-f661-4469-a851-9fd14d16c4cd	POST	undefined	/register
20240203	14:19:31	493dc0c1-b69f-40f8-a328-4a06241909fc	POST	undefined	/register
20240203	14:20:00	fca2f28f-51b0-4a12-9bc2-f953a0a6bc1c	POST	undefined	/auth
20240203	14:22:41	1bb50e2e-fdd7-4b49-ad30-d49b9f4e8547	GET	undefined	/refresh
20240203	14:22:44	0d5e36ee-f439-4210-b51b-cb02427e0f18	POST	undefined	/auth
20240203	14:22:55	9e6ca80c-5605-4dd8-ad9f-ce5b22dc9d31	GET	undefined	/refresh
20240203	14:23:00	d5bfa218-c889-455e-bc59-a4998745e856	GET	undefined	/refresh
20240203	14:23:45	134b99fc-5c4c-48d8-994c-b47450e280da	GET	undefined	/refresh
20240203	14:23:48	f01551cb-4fd0-4071-8745-92b66f29de0c	POST	undefined	/auth
20240203	14:23:50	5f035a56-113f-4717-b1eb-7f467565f30d	GET	undefined	/refresh
20240203	14:24:50	4f9b03a5-2d46-4f50-b60a-89b6c370a155	POST	undefined	/auth
20240203	14:24:55	9713e111-3852-4c66-ab32-5909b9aeeb98	GET	undefined	/logout
20240203	14:44:00	9f435958-16ba-4d5d-9bc6-52f09981a7d4	POST	undefined	/auth
20240203	14:44:11	2732703e-5fa1-4b0d-a38e-6c5fd2661c7c	GET	undefined	/employees
20240203	14:45:39	381f71ac-ce46-4d59-872d-ba99db014ca4	POST	undefined	/auth
20240203	14:46:16	c4bc3a65-7b7f-48d6-bde8-5598953bb33a	GET	undefined	/employees/65be3a3bcf6721486a848d70
20240203	14:46:30	d87a6131-5746-4df1-b9cf-f427e3df0812	POST	undefined	/auth
20240203	14:46:52	47740d8d-9eb4-472e-8810-545d3a9d732b	POST	undefined	/employees
20240203	14:46:57	e4dc8e68-a758-404f-a4da-cea578ca6e7e	POST	undefined	/employees
20240203	14:47:00	01c6afdb-0a24-4bd3-96ab-293f48d62272	POST	undefined	/auth
20240203	14:47:09	84b89ff4-e248-4b0b-a9b4-517cbcc5fedb	POST	undefined	/employees
20240203	14:47:10	b6674623-4eb9-4d38-9bac-02545e9e96be	POST	undefined	/employees
20240203	14:47:10	166702f5-6beb-4dfc-b29b-3d585a07d5e0	POST	undefined	/employees
20240203	14:47:34	253a1376-c681-4d77-a199-e579c1e27a4d	GET	undefined	/employees/65be3a3bcf6721486a848d70
20240203	14:47:37	3c2c7edb-209a-4f7f-aeb4-4e895478fe56	GET	undefined	/employees/65be3a3bcf6721486a848d70
20240203	14:47:42	a56af337-a5d6-42bd-b402-72433916e4e8	POST	undefined	/employees
20240203	14:48:29	0d1899b0-e700-4d4b-994c-8cff3f6c5ed6	POST	undefined	/employees
20240203	14:48:32	3c7178a1-88ff-48b2-a863-2e654d263281	POST	undefined	/auth
20240203	14:48:43	3088a763-4cbd-4341-8757-5a94b3872613	POST	undefined	/employees
20240203	14:49:01	51823b6e-f42c-4e40-b46a-5c6757bf7905	POST	undefined	/employees
20240203	14:49:34	08c16009-4d68-4c12-b89d-1460693abf5d	POST	undefined	/auth
